Columbus Instruments Device Interface Version 1.5
Started On:,05/04/21 16:20:45

[Experiment Setup Info]
Program Path:,C:\Program Files\CI Multi-Device Interface
Data Path:,C:\Program Files\CI Multi-Device Interface\Data
Experiment File Name:,C:\Program Files\CI Multi-Device Interface\data\BrooksSepsisWheels_2021.05.04.csv
Session Interval:,00:10:00
Experiment Duration:,0
Staggered Start Enable:,False
[Channel Setup Info]
Cage 1,Cage1
Cage 2,
Cage 3,
Cage 4,
Cage 5,
Cage 6,
Cage 7,
Cage 8,
[End Channel Setup Info]
[Experiment Comments]
Default Experiment Comments
[Experiment Comments End]
[Experiment Data]
Int,Cage,Time,Wheel (counts),Wheel Accum (counts),
0,1,05/04/21 16:20:48,0,0,
0,2,05/04/21 16:20:48,0,0,
0,3,05/04/21 16:20:48,0,0,
0,4,05/04/21 16:20:48,0,0,
0,5,05/04/21 16:20:48,0,0,
0,6,05/04/21 16:20:48,0,0,
0,7,05/04/21 16:20:48,0,0,
0,8,05/04/21 16:20:48,0,0,
1,1,05/04/21 16:30:48,26,26,
1,2,05/04/21 16:30:48,0,0,
1,3,05/04/21 16:30:48,0,0,
1,4,05/04/21 16:30:48,1,1,
1,5,05/04/21 16:30:48,0,0,
1,6,05/04/21 16:30:48,2,2,
1,7,05/04/21 16:30:48,354,355,
1,8,05/04/21 16:30:48,0,0,
2,1,05/04/21 16:40:48,53,79,
2,2,05/04/21 16:40:48,0,0,
2,3,05/04/21 16:40:48,0,0,
2,4,05/04/21 16:40:48,20,21,
2,5,05/04/21 16:40:48,0,0,
2,6,05/04/21 16:40:48,1,3,
2,7,05/04/21 16:40:48,186,541,
2,8,05/04/21 16:40:48,0,0,
3,1,05/04/21 16:50:48,7,86,
3,2,05/04/21 16:50:48,0,0,
3,3,05/04/21 16:50:48,0,0,
3,4,05/04/21 16:50:48,0,21,
3,5,05/04/21 16:50:48,0,0,
3,6,05/04/21 16:50:48,14,17,
3,7,05/04/21 16:50:48,196,737,
3,8,05/04/21 16:50:48,0,0,
4,1,05/04/21 17:00:48,15,101,
4,2,05/04/21 17:00:48,0,0,
4,3,05/04/21 17:00:48,0,0,
4,4,05/04/21 17:00:48,0,21,
4,5,05/04/21 17:00:48,0,0,
4,6,05/04/21 17:00:48,0,17,
4,7,05/04/21 17:00:48,454,1191,
4,8,05/04/21 17:00:48,0,0,
5,1,05/04/21 17:10:48,2,103,
5,2,05/04/21 17:10:48,0,0,
5,3,05/04/21 17:10:48,0,0,
5,4,05/04/21 17:10:48,0,21,
5,5,05/04/21 17:10:48,0,0,
5,6,05/04/21 17:10:48,0,17,
5,7,05/04/21 17:10:48,302,1493,
5,8,05/04/21 17:10:48,0,0,
6,1,05/04/21 17:20:48,13,116,
6,2,05/04/21 17:20:48,0,0,
6,3,05/04/21 17:20:48,0,0,
6,4,05/04/21 17:20:48,0,21,
6,5,05/04/21 17:20:48,0,0,
6,6,05/04/21 17:20:48,0,17,
6,7,05/04/21 17:20:48,318,1811,
6,8,05/04/21 17:20:48,0,0,
7,1,05/04/21 17:30:49,8,124,
7,2,05/04/21 17:30:49,0,0,
7,3,05/04/21 17:30:49,0,0,
7,4,05/04/21 17:30:49,0,21,
7,5,05/04/21 17:30:49,0,0,
7,6,05/04/21 17:30:49,0,17,
7,7,05/04/21 17:30:49,290,2101,
7,8,05/04/21 17:30:49,0,0,
8,1,05/04/21 17:40:49,0,124,
8,2,05/04/21 17:40:49,0,0,
8,3,05/04/21 17:40:49,0,0,
8,4,05/04/21 17:40:49,0,21,
8,5,05/04/21 17:40:49,2,2,
8,6,05/04/21 17:40:49,0,17,
8,7,05/04/21 17:40:49,293,2394,
8,8,05/04/21 17:40:49,0,0,
9,1,05/04/21 17:50:49,0,124,
9,2,05/04/21 17:50:49,0,0,
9,3,05/04/21 17:50:49,0,0,
9,4,05/04/21 17:50:49,0,21,
9,5,05/04/21 17:50:49,0,2,
9,6,05/04/21 17:50:49,1,18,
9,7,05/04/21 17:50:49,344,2738,
9,8,05/04/21 17:50:49,0,0,
10,1,05/04/21 18:00:49,1,125,
10,2,05/04/21 18:00:49,0,0,
10,3,05/04/21 18:00:49,3,3,
10,4,05/04/21 18:00:49,3,24,
10,5,05/04/21 18:00:49,0,2,
10,6,05/04/21 18:00:49,0,18,
10,7,05/04/21 18:00:49,337,3075,
10,8,05/04/21 18:00:49,0,0,
11,1,05/04/21 18:10:49,8,133,
11,2,05/04/21 18:10:49,0,0,
11,3,05/04/21 18:10:49,5,8,
11,4,05/04/21 18:10:49,0,24,
11,5,05/04/21 18:10:49,0,2,
11,6,05/04/21 18:10:49,0,18,
11,7,05/04/21 18:10:49,100,3175,
11,8,05/04/21 18:10:49,0,0,
12,1,05/04/21 18:20:49,0,133,
12,2,05/04/21 18:20:49,0,0,
12,3,05/04/21 18:20:49,0,8,
12,4,05/04/21 18:20:49,4,28,
12,5,05/04/21 18:20:49,0,2,
12,6,05/04/21 18:20:49,1,19,
12,7,05/04/21 18:20:49,343,3518,
12,8,05/04/21 18:20:49,0,0,
13,1,05/04/21 18:30:50,0,133,
13,2,05/04/21 18:30:50,0,0,
13,3,05/04/21 18:30:50,0,8,
13,4,05/04/21 18:30:50,0,28,
13,5,05/04/21 18:30:50,0,2,
13,6,05/04/21 18:30:50,0,19,
13,7,05/04/21 18:30:50,175,3693,
13,8,05/04/21 18:30:50,0,0,
14,1,05/04/21 18:40:50,6,139,
14,2,05/04/21 18:40:50,0,0,
14,3,05/04/21 18:40:50,0,8,
14,4,05/04/21 18:40:50,0,28,
14,5,05/04/21 18:40:50,0,2,
14,6,05/04/21 18:40:50,141,160,
14,7,05/04/21 18:40:50,71,3764,
14,8,05/04/21 18:40:50,0,0,
15,1,05/04/21 18:50:50,0,139,
15,2,05/04/21 18:50:50,0,0,
15,3,05/04/21 18:50:50,0,8,
15,4,05/04/21 18:50:50,0,28,
15,5,05/04/21 18:50:50,0,2,
15,6,05/04/21 18:50:50,105,265,
15,7,05/04/21 18:50:50,160,3924,
15,8,05/04/21 18:50:50,0,0,
16,1,05/04/21 19:00:50,4,143,
16,2,05/04/21 19:00:50,3,3,
16,3,05/04/21 19:00:50,0,8,
16,4,05/04/21 19:00:50,9,37,
16,5,05/04/21 19:00:50,3,5,
16,6,05/04/21 19:00:50,115,380,
16,7,05/04/21 19:00:50,148,4072,
16,8,05/04/21 19:00:50,0,0,
17,1,05/04/21 19:10:50,36,179,
17,2,05/04/21 19:10:50,1,4,
17,3,05/04/21 19:10:50,0,8,
17,4,05/04/21 19:10:50,162,199,
17,5,05/04/21 19:10:50,40,45,
17,6,05/04/21 19:10:50,119,499,
17,7,05/04/21 19:10:50,61,4133,
17,8,05/04/21 19:10:50,0,0,
18,1,05/04/21 19:20:50,54,233,
18,2,05/04/21 19:20:50,3,7,
18,3,05/04/21 19:20:50,0,8,
18,4,05/04/21 19:20:50,0,199,
18,5,05/04/21 19:20:50,251,296,
18,6,05/04/21 19:20:50,94,593,
